row,columns,threads,user,elapsed,sys,pCPU
10000,10000,4,0.44,0.24,0.38,337%
10000,10000,4,0.36,0.19,0.36,378%
10000,10000,4,0.45,0.24,0.38,337%
10000,10000,4,0.37,0.19,0.34,378%
10000,10000,4,0.48,0.25,0.36,337%
10000,10000,4,0.36,0.19,0.36,377%
10000,10000,4,0.34,0.20,0.40,377%
10000,10000,4,0.49,0.25,0.37,337%
10000,10000,4,0.46,0.24,0.37,337%
10000,10000,4,0.41,0.24,0.41,338%
10000,10000,4,0.37,0.19,0.34,377%
10000,10000,4,0.49,0.25,0.34,336%
10000,10000,4,0.40,0.19,0.32,376%
10000,10000,4,0.40,0.20,0.35,377%
10000,10000,4,0.40,0.20,0.34,377%
10000,10000,4,0.43,0.25,0.42,338%
10000,10000,4,0.47,0.25,0.38,337%
10000,10000,4,0.45,0.24,0.37,337%
10000,10000,4,0.38,0.19,0.34,376%
10000,10000,4,0.36,0.19,0.37,378%
10000,10000,4,0.46,0.25,0.39,338%
10000,10000,4,0.46,0.24,0.36,337%
10000,10000,4,0.36,0.19,0.35,378%
10000,10000,4,0.40,0.19,0.33,378%
10000,10000,4,0.45,0.25,0.41,338%
10000,10000,4,0.41,0.19,0.31,378%
10000,10000,4,0.39,0.20,0.35,378%
10000,10000,4,0.44,0.25,0.42,337%
10000,10000,4,0.44,0.24,0.38,336%
10000,10000,4,0.44,0.24,0.38,337%
10000,10000,4,0.44,0.24,0.38,338%
10000,10000,4,0.45,0.24,0.37,337%
10000,10000,4,0.50,0.29,0.45,329%
10000,10000,4,0.41,0.23,0.38,336%
10000,10000,4,0.36,0.18,0.33,377%
10000,10000,4,0.36,0.19,0.36,377%
10000,10000,4,0.46,0.25,0.38,336%
10000,10000,4,0.45,0.24,0.37,337%
10000,10000,4,0.42,0.24,0.40,337%
10000,10000,4,0.42,0.19,0.29,378%
10000,10000,4,0.37,0.19,0.36,378%
10000,10000,4,0.46,0.25,0.40,338%
10000,10000,4,0.44,0.24,0.39,336%
10000,10000,4,0.41,0.24,0.41,337%
10000,10000,4,0.36,0.19,0.35,378%
10000,10000,4,0.45,0.25,0.39,337%
10000,10000,4,0.48,0.24,0.35,337%
10000,10000,4,0.34,0.19,0.37,378%
10000,10000,4,0.49,0.25,0.35,337%
10000,10000,4,0.36,0.19,0.36,376%
10000,10000,4,0.39,0.20,0.35,377%
10000,10000,4,0.38,0.19,0.36,378%
10000,10000,4,0.49,0.25,0.36,337%
10000,10000,4,0.38,0.19,0.35,378%
10000,10000,4,0.42,0.25,0.44,338%
10000,10000,4,0.40,0.19,0.32,377%
10000,10000,4,0.37,0.20,0.37,378%
10000,10000,4,0.39,0.20,0.36,378%
10000,10000,4,0.46,0.25,0.40,337%
10000,10000,4,0.39,0.19,0.33,378%
10000,10000,4,0.52,0.25,0.34,337%
10000,10000,4,0.38,0.19,0.34,377%
10000,10000,4,0.39,0.20,0.36,378%
10000,10000,4,0.44,0.25,0.42,337%
10000,10000,4,0.38,0.19,0.34,378%
10000,10000,4,0.47,0.25,0.38,338%
10000,10000,4,0.40,0.19,0.31,377%
10000,10000,4,0.41,0.20,0.35,378%
10000,10000,4,0.35,0.20,0.40,378%
10000,10000,4,0.47,0.25,0.39,338%
10000,10000,4,0.50,0.25,0.33,336%
10000,10000,4,0.37,0.19,0.35,378%
10000,10000,4,0.49,0.25,0.37,338%
10000,10000,4,0.46,0.24,0.36,338%
10000,10000,4,0.41,0.24,0.41,337%
10000,10000,4,0.46,0.24,0.36,338%
10000,10000,4,0.37,0.19,0.35,377%
10000,10000,4,0.48,0.24,0.44,382%
10000,10000,4,0.42,0.24,0.40,338%
10000,10000,4,0.46,0.24,0.36,337%
10000,10000,4,0.47,0.24,0.35,337%
10000,10000,4,0.41,0.19,0.31,378%
10000,10000,4,0.41,0.24,0.42,337%
10000,10000,4,0.45,0.24,0.37,338%
10000,10000,4,0.38,0.19,0.33,378%
10000,10000,4,0.39,0.19,0.34,377%
10000,10000,4,0.37,0.20,0.38,378%
10000,10000,4,0.38,0.20,0.37,379%
10000,10000,4,0.47,0.26,0.43,340%
10000,10000,4,0.43,0.25,0.41,336%
10000,10000,4,0.44,0.24,0.39,337%
10000,10000,4,0.45,0.24,0.37,337%
10000,10000,4,0.45,0.24,0.36,336%
10000,10000,4,0.46,0.24,0.37,338%
10000,10000,4,0.37,0.19,0.34,378%
10000,10000,4,0.40,0.25,0.43,336%
10000,10000,4,0.45,0.24,0.37,337%
10000,10000,4,0.46,0.24,0.36,336%
10000,10000,4,0.41,0.19,0.31,377%
10000,10000,4,0.38,0.19,0.35,377%
10000,10000,4,0.38,0.20,0.37,378%
10000,10000,4,0.47,0.25,0.39,337%
10000,10000,4,0.48,0.25,0.35,336%
10000,10000,4,0.47,0.24,0.35,337%
10000,10000,4,0.45,0.24,0.37,337%
10000,10000,4,0.42,0.24,0.40,337%
10000,10000,4,0.44,0.24,0.38,337%
10000,10000,4,0.32,0.19,0.39,377%
10000,10000,4,0.47,0.24,0.36,336%
10000,10000,4,0.34,0.19,0.38,377%
10000,10000,4,0.39,0.20,0.36,379%
10000,10000,4,0.46,0.25,0.39,338%
10000,10000,4,0.50,0.24,0.33,337%
10000,10000,4,0.41,0.19,0.30,378%
10000,10000,4,0.36,0.19,0.37,378%
10000,10000,4,0.44,0.25,0.42,337%
10000,10000,4,0.45,0.24,0.37,337%
10000,10000,4,0.36,0.19,0.36,377%
10000,10000,4,0.47,0.25,0.38,337%
10000,10000,4,0.48,0.24,0.35,336%
10000,10000,4,0.36,0.19,0.35,378%
10000,10000,4,0.43,0.25,0.41,338%
10000,10000,4,0.39,0.24,0.44,337%
10000,10000,4,0.34,0.19,0.37,377%
10000,10000,4,0.47,0.25,0.38,337%
10000,10000,4,0.46,0.24,0.37,337%
10000,10000,4,0.46,0.24,0.36,337%
10000,10000,4,0.34,0.19,0.37,376%
10000,10000,4,0.46,0.25,0.37,338%
10000,10000,4,0.36,0.19,0.36,376%
10000,10000,4,0.49,0.25,0.37,338%
10000,10000,4,0.45,0.24,0.37,336%
10000,10000,4,0.42,0.24,0.40,338%
10000,10000,4,0.44,0.24,0.38,338%
10000,10000,4,0.37,0.19,0.34,379%
10000,10000,4,0.38,0.19,0.34,378%
10000,10000,4,0.45,0.25,0.40,338%
10000,10000,4,0.46,0.24,0.37,337%
10000,10000,4,0.43,0.24,0.38,338%
10000,10000,4,0.48,0.24,0.34,338%
10000,10000,4,0.42,0.24,0.40,338%
10000,10000,4,0.43,0.24,0.39,338%
10000,10000,4,0.40,0.19,0.31,378%
10000,10000,4,0.47,0.24,0.36,337%
10000,10000,4,0.43,0.24,0.38,337%
10000,10000,4,0.45,0.24,0.37,337%
10000,10000,4,0.45,0.24,0.37,337%
10000,10000,4,0.36,0.19,0.36,377%
10000,10000,4,0.45,0.24,0.38,337%
10000,10000,4,0.37,0.19,0.35,377%
10000,10000,4,0.46,0.25,0.39,338%
10000,10000,4,0.43,0.24,0.39,336%
10000,10000,4,0.36,0.19,0.36,378%
10000,10000,4,0.35,0.19,0.38,377%
10000,10000,4,0.46,0.25,0.40,338%
10000,10000,4,0.36,0.19,0.36,377%
10000,10000,4,0.47,0.22,0.37,379%
10000,10000,4,0.42,0.25,0.42,336%
10000,10000,4,0.35,0.19,0.37,376%
10000,10000,4,0.40,0.20,0.34,379%
10000,10000,4,0.39,0.20,0.36,378%
10000,10000,4,0.47,0.25,0.38,337%
10000,10000,4,0.49,0.24,0.34,336%
10000,10000,4,0.46,0.24,0.36,336%
10000,10000,4,0.42,0.19,0.30,377%
10000,10000,4,0.47,0.25,0.37,337%
10000,10000,4,0.39,0.19,0.33,378%
10000,10000,4,0.46,0.25,0.39,337%
10000,10000,4,0.48,0.24,0.34,336%
10000,10000,4,0.47,0.24,0.35,337%
10000,10000,4,0.38,0.19,0.33,378%
10000,10000,4,0.47,0.25,0.36,336%
10000,10000,4,0.40,0.19,0.32,376%
10000,10000,4,0.47,0.25,0.39,337%
10000,10000,4,0.47,0.24,0.36,337%
10000,10000,4,0.48,0.24,0.34,337%
10000,10000,4,0.36,0.19,0.35,378%
10000,10000,4,0.46,0.25,0.37,337%
10000,10000,4,0.47,0.24,0.36,337%
10000,10000,4,0.43,0.24,0.39,337%
10000,10000,4,0.47,0.24,0.35,338%
10000,10000,4,0.42,0.19,0.29,376%
10000,10000,4,0.48,0.25,0.36,337%
10000,10000,4,0.45,0.24,0.38,336%
10000,10000,4,0.41,0.24,0.41,337%
10000,10000,4,0.44,0.24,0.38,338%
10000,10000,4,0.45,0.24,0.36,338%
10000,10000,4,0.38,0.19,0.34,377%
10000,10000,4,0.49,0.24,0.34,337%
10000,10000,4,0.45,0.24,0.37,337%
10000,10000,4,0.45,0.24,0.36,338%
10000,10000,4,0.45,0.24,0.37,337%
10000,10000,4,0.43,0.24,0.39,337%
10000,10000,4,0.44,0.24,0.38,337%
10000,10000,4,0.43,0.24,0.39,338%
10000,10000,4,0.32,0.19,0.39,377%
10000,10000,4,0.42,0.24,0.41,336%
10000,10000,4,0.38,0.19,0.34,378%
10000,10000,4,0.39,0.19,0.34,377%
10000,10000,4,0.40,0.20,0.36,379%
10000,10000,4,0.46,0.25,0.40,337%
10000,10000,4,0.44,0.19,0.29,377%
10000,10000,4,0.46,0.25,0.39,337%
10000,10000,4,0.48,0.24,0.35,336%
10000,10000,4,0.45,0.24,0.37,337%
10000,10000,4,0.45,0.24,0.37,338%
10000,10000,4,0.41,0.19,0.30,377%
10000,10000,4,0.45,0.25,0.39,337%
10000,10000,4,0.40,0.19,0.32,376%
