row,columns,threads,user,elapsed,sys,pCPU
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.25,0.31,0.05,99%
5000,8000,0,0.21,0.30,0.09,100%
5000,8000,0,0.22,0.31,0.08,100%
5000,8000,0,0.20,0.31,0.10,100%
5000,8000,0,0.24,0.31,0.06,100%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.20,0.30,0.10,99%
5000,8000,0,0.21,0.31,0.10,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.21,0.31,0.10,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.31,0.08,100%
5000,8000,0,0.19,0.31,0.11,100%
5000,8000,0,0.22,0.31,0.08,100%
5000,8000,0,0.25,0.31,0.06,99%
5000,8000,0,0.25,0.31,0.05,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.26,0.31,0.04,100%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.24,0.31,0.07,100%
5000,8000,0,0.24,0.31,0.07,100%
5000,8000,0,0.24,0.30,0.06,100%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.19,0.31,0.11,100%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.19,0.31,0.11,99%
5000,8000,0,0.23,0.32,0.08,99%
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.25,0.31,0.05,99%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.21,0.31,0.10,99%
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.25,0.31,0.06,99%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.23,0.31,0.08,100%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.25,0.31,0.05,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.31,0.08,100%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.22,0.31,0.09,100%
5000,8000,0,0.22,0.31,0.09,99%
5000,8000,0,0.23,0.30,0.06,99%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.21,0.30,0.09,100%
5000,8000,0,0.22,0.31,0.08,100%
5000,8000,0,0.18,0.31,0.12,100%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.25,0.31,0.06,100%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.22,0.30,0.07,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.23,0.30,0.07,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.25,0.31,0.06,100%
5000,8000,0,0.23,0.30,0.07,100%
5000,8000,0,0.24,0.31,0.07,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.23,0.31,0.08,100%
5000,8000,0,0.24,0.30,0.06,100%
5000,8000,0,0.26,0.31,0.04,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.25,0.31,0.06,100%
5000,8000,0,0.22,0.30,0.08,99%
5000,8000,0,0.22,0.31,0.09,100%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.22,0.31,0.09,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.22,0.31,0.08,100%
5000,8000,0,0.22,0.31,0.09,99%
5000,8000,0,0.21,0.30,0.09,100%
5000,8000,0,0.24,0.31,0.06,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.21,0.30,0.09,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.21,0.31,0.09,100%
5000,8000,0,0.26,0.30,0.04,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.21,0.31,0.10,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.22,0.31,0.09,100%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.23,0.31,0.08,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.20,0.30,0.09,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.22,0.30,0.08,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.22,0.30,0.07,100%
5000,8000,0,0.20,0.31,0.10,100%
5000,8000,0,0.22,0.30,0.08,99%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.20,0.31,0.11,99%
5000,8000,0,0.22,0.30,0.07,99%
5000,8000,0,0.22,0.31,0.09,100%
5000,8000,0,0.20,0.31,0.11,100%
5000,8000,0,0.23,0.31,0.07,100%
5000,8000,0,0.25,0.32,0.05,99%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.24,0.31,0.06,100%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.18,0.31,0.13,99%
5000,8000,0,0.24,0.31,0.07,100%
5000,8000,0,0.23,0.30,0.07,100%
5000,8000,0,0.24,0.32,0.07,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.31,0.08,100%
5000,8000,0,0.23,0.31,0.07,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.21,0.31,0.10,99%
5000,8000,0,0.20,0.31,0.10,100%
5000,8000,0,0.19,0.31,0.11,100%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.22,0.30,0.08,99%
5000,8000,0,0.21,0.32,0.10,100%
5000,8000,0,0.22,0.31,0.08,100%
5000,8000,0,0.20,0.31,0.10,100%
5000,8000,0,0.23,0.32,0.08,100%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.24,0.32,0.07,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.22,0.31,0.09,100%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.19,0.31,0.11,99%
5000,8000,0,0.24,0.31,0.07,99%
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.22,0.31,0.08,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.31,0.08,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.26,0.32,0.05,100%
5000,8000,0,0.22,0.31,0.08,100%
5000,8000,0,0.22,0.32,0.09,99%
5000,8000,0,0.19,0.30,0.10,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.21,0.31,0.10,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.21,0.31,0.10,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.24,0.31,0.07,99%
5000,8000,0,0.24,0.31,0.07,100%
5000,8000,0,0.20,0.30,0.09,99%
5000,8000,0,0.23,0.31,0.08,100%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.24,0.31,0.07,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.21,0.31,0.10,100%
5000,8000,0,0.21,0.30,0.08,99%
5000,8000,0,0.24,0.31,0.07,99%
5000,8000,0,0.25,0.31,0.05,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.24,0.30,0.06,100%
5000,8000,0,0.23,0.31,0.07,100%
5000,8000,0,0.21,0.30,0.09,100%
5000,8000,0,0.22,0.31,0.09,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.25,0.30,0.05,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.24,0.30,0.06,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.24,0.31,0.06,100%
5000,8000,0,0.19,0.30,0.11,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.31,0.07,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.21,0.30,0.08,99%
5000,8000,0,0.23,0.31,0.07,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.31,0.08,100%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.20,0.30,0.09,99%
5000,8000,0,0.23,0.32,0.08,100%
5000,8000,0,0.23,0.30,0.07,100%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.20,0.31,0.10,100%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.20,0.31,0.11,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.22,0.31,0.09,99%
5000,8000,0,0.23,0.32,0.08,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.32,0.10,100%
5000,8000,0,0.25,0.31,0.05,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.23,0.31,0.07,100%
5000,8000,0,0.24,0.30,0.06,99%
5000,8000,0,0.25,0.31,0.06,99%
5000,8000,0,0.23,0.31,0.08,100%
5000,8000,0,0.23,0.30,0.07,100%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.21,0.30,0.09,100%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.22,0.31,0.09,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.22,0.31,0.09,100%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.23,0.30,0.07,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.23,0.30,0.07,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.23,0.30,0.07,100%
5000,8000,0,0.21,0.31,0.09,100%
5000,8000,0,0.24,0.31,0.06,100%
5000,8000,0,0.24,0.30,0.06,99%
5000,8000,0,0.24,0.31,0.07,99%
5000,8000,0,0.23,0.30,0.07,100%
5000,8000,0,0.23,0.31,0.08,100%
5000,8000,0,0.24,0.31,0.06,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.22,0.31,0.09,99%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.25,0.31,0.06,99%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.19,0.31,0.11,99%
5000,8000,0,0.22,0.30,0.07,99%
5000,8000,0,0.22,0.31,0.09,100%
5000,8000,0,0.21,0.31,0.10,100%
5000,8000,0,0.20,0.30,0.09,100%
5000,8000,0,0.23,0.31,0.08,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.30,0.08,99%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.22,0.31,0.08,100%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.20,0.30,0.10,100%
5000,8000,0,0.22,0.31,0.09,99%
5000,8000,0,0.20,0.30,0.10,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.20,0.31,0.10,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.21,0.30,0.09,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.19,0.31,0.11,100%
5000,8000,0,0.22,0.30,0.08,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.21,0.30,0.09,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.30,0.07,100%
5000,8000,0,0.24,0.31,0.07,99%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.21,0.30,0.08,99%
5000,8000,0,0.24,0.31,0.07,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.24,0.31,0.06,100%
5000,8000,0,0.25,0.31,0.05,100%
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.24,0.30,0.06,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.31,0.09,99%
5000,8000,0,0.22,0.30,0.08,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.30,0.08,99%
5000,8000,0,0.25,0.31,0.05,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.24,0.31,0.07,99%
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.24,0.31,0.06,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.20,0.30,0.10,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.30,0.08,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.25,0.31,0.06,100%
5000,8000,0,0.21,0.31,0.10,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.20,0.30,0.10,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.22,0.31,0.09,99%
5000,8000,0,0.21,0.30,0.09,100%
5000,8000,0,0.22,0.31,0.09,100%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.24,0.30,0.06,99%
5000,8000,0,0.24,0.31,0.07,99%
5000,8000,0,0.20,0.31,0.10,100%
5000,8000,0,0.21,0.30,0.09,99%
5000,8000,0,0.22,0.31,0.09,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.21,0.30,0.09,99%
5000,8000,0,0.24,0.31,0.07,100%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.21,0.30,0.09,99%
5000,8000,0,0.22,0.31,0.09,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.21,0.31,0.09,100%
5000,8000,0,0.24,0.31,0.06,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.21,0.30,0.09,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.23,0.30,0.07,99%
5000,8000,0,0.22,0.32,0.09,99%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.26,0.31,0.05,99%
5000,8000,0,0.20,0.31,0.11,99%
5000,8000,0,0.25,0.31,0.06,99%
5000,8000,0,0.23,0.32,0.08,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.20,0.31,0.10,100%
5000,8000,0,0.23,0.31,0.08,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.22,0.32,0.09,99%
5000,8000,0,0.23,0.30,0.07,100%
5000,8000,0,0.21,0.31,0.10,100%
5000,8000,0,0.22,0.31,0.09,99%
5000,8000,0,0.24,0.31,0.07,100%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.24,0.31,0.07,100%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.22,0.31,0.09,99%
5000,8000,0,0.22,0.30,0.08,99%
5000,8000,0,0.23,0.32,0.08,100%
5000,8000,0,0.22,0.31,0.08,100%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.23,0.31,0.08,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.24,0.31,0.07,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.22,0.32,0.09,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.31,0.08,99%
5000,8000,0,0.23,0.31,0.08,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.24,0.32,0.07,100%
5000,8000,0,0.25,0.31,0.05,99%
5000,8000,0,0.22,0.32,0.09,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.21,0.31,0.10,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.20,0.31,0.10,99%
5000,8000,0,0.21,0.31,0.10,100%
5000,8000,0,0.22,0.30,0.08,100%
5000,8000,0,0.26,0.31,0.05,100%
5000,8000,0,0.19,0.31,0.11,99%
5000,8000,0,0.25,0.31,0.05,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.22,0.30,0.07,99%
5000,8000,0,0.25,0.31,0.06,99%
5000,8000,0,0.24,0.31,0.06,99%
5000,8000,0,0.21,0.31,0.09,100%
5000,8000,0,0.23,0.31,0.07,100%
5000,8000,0,0.21,0.31,0.09,99%
5000,8000,0,0.23,0.31,0.07,99%
5000,8000,0,0.22,0.31,0.08,99%
5000,8000,0,0.21,0.30,0.08,99%
5000,8000,0,0.22,0.31,0.09,100%
