row,columns,threads,user,elapsed,sys,pCPU
2000,2000,0,0.03,0.04,0.00,100%
2000,2000,0,0.01,0.03,0.01,96%
2000,2000,0,0.01,0.02,0.01,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.01,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.01,96%
2000,2000,0,0.01,0.02,0.00,96%
2000,2000,0,0.01,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,96%
2000,2000,0,0.01,0.02,0.01,96%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.00,96%
2000,2000,0,0.01,0.02,0.00,96%
2000,2000,0,0.01,0.02,0.01,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.01,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.01,96%
2000,2000,0,0.01,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,96%
2000,2000,0,0.01,0.02,0.01,96%
2000,2000,0,0.00,0.02,0.01,96%
2000,2000,0,0.01,0.02,0.01,100%
2000,2000,0,0.01,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.01,96%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.00,96%
2000,2000,0,0.01,0.02,0.01,100%
2000,2000,0,0.01,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.00,96%
2000,2000,0,0.01,0.02,0.01,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,96%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.01,96%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,100%
2000,2000,0,0.01,0.02,0.01,100%
2000,2000,0,0.02,0.02,0.00,96%
2000,2000,0,0.01,0.02,0.00,100%
2000,2000,0,0.02,0.02,0.00,100%
