row,columns,threads,user,elapsed,sys,pCPU
8000,8000,4,0.26,0.12,0.24,395%
8000,8000,4,0.30,0.12,0.20,396%
8000,8000,4,0.26,0.13,0.25,395%
8000,8000,4,0.29,0.13,0.23,397%
8000,8000,4,0.26,0.12,0.25,396%
8000,8000,4,0.27,0.12,0.23,396%
8000,8000,4,0.28,0.13,0.22,396%
8000,8000,4,0.26,0.13,0.27,395%
8000,8000,4,0.29,0.12,0.22,396%
8000,8000,4,0.28,0.12,0.22,396%
8000,8000,4,0.29,0.13,0.22,396%
8000,8000,4,0.27,0.13,0.26,394%
8000,8000,4,0.28,0.13,0.24,394%
8000,8000,4,0.28,0.12,0.22,396%
8000,8000,4,0.27,0.12,0.23,396%
8000,8000,4,0.29,0.13,0.21,394%
8000,8000,4,0.27,0.13,0.26,395%
8000,8000,4,0.29,0.13,0.21,396%
8000,8000,4,0.28,0.12,0.23,396%
8000,8000,4,0.29,0.13,0.22,396%
8000,8000,4,0.28,0.13,0.24,394%
8000,8000,4,0.32,0.13,0.18,393%
8000,8000,4,0.28,0.13,0.22,394%
8000,8000,4,0.26,0.13,0.25,395%
8000,8000,4,0.31,0.13,0.22,395%
8000,8000,4,0.26,0.12,0.24,396%
8000,8000,4,0.30,0.12,0.21,398%
8000,8000,4,0.28,0.13,0.23,397%
8000,8000,4,0.29,0.13,0.24,394%
8000,8000,4,0.27,0.12,0.23,396%
8000,8000,4,0.29,0.13,0.22,396%
8000,8000,4,0.27,0.13,0.26,397%
8000,8000,4,0.27,0.12,0.23,395%
8000,8000,4,0.29,0.12,0.22,396%
8000,8000,4,0.29,0.13,0.22,394%
8000,8000,4,0.29,0.13,0.24,397%
8000,8000,4,0.27,0.13,0.24,396%
8000,8000,4,0.27,0.12,0.23,395%
8000,8000,4,0.26,0.13,0.25,395%
8000,8000,4,0.28,0.13,0.25,396%
8000,8000,4,0.27,0.12,0.23,395%
8000,8000,4,0.27,0.13,0.24,395%
8000,8000,4,0.27,0.13,0.25,395%
8000,8000,4,0.24,0.13,0.26,395%
8000,8000,4,0.26,0.12,0.25,396%
8000,8000,4,0.29,0.13,0.22,396%
8000,8000,4,0.31,0.13,0.22,395%
8000,8000,4,0.29,0.13,0.22,395%
8000,8000,4,0.27,0.13,0.24,396%
8000,8000,4,0.30,0.13,0.23,394%
8000,8000,4,0.27,0.13,0.23,393%
8000,8000,4,0.26,0.12,0.24,396%
8000,8000,4,0.28,0.13,0.23,395%
8000,8000,4,0.26,0.13,0.27,395%
8000,8000,4,0.28,0.12,0.22,395%
8000,8000,4,0.28,0.12,0.23,396%
8000,8000,4,0.26,0.13,0.25,395%
8000,8000,4,0.30,0.13,0.23,396%
8000,8000,4,0.27,0.12,0.23,396%
8000,8000,4,0.26,0.13,0.25,395%
8000,8000,4,0.30,0.13,0.23,396%
8000,8000,4,0.30,0.12,0.20,396%
8000,8000,4,0.28,0.13,0.23,396%
8000,8000,4,0.28,0.13,0.25,395%
8000,8000,4,0.28,0.12,0.22,397%
8000,8000,4,0.29,0.13,0.22,396%
8000,8000,4,0.32,0.13,0.20,394%
8000,8000,4,0.36,0.16,0.26,379%
8000,8000,4,0.31,0.12,0.19,395%
8000,8000,4,0.26,0.12,0.24,396%
8000,8000,4,0.29,0.12,0.21,396%
8000,8000,4,0.29,0.13,0.22,393%
8000,8000,4,0.26,0.13,0.24,393%
8000,8000,4,0.27,0.12,0.23,395%
8000,8000,4,0.26,0.12,0.24,396%
8000,8000,4,0.28,0.12,0.22,396%
8000,8000,4,0.28,0.12,0.22,396%
8000,8000,4,0.27,0.12,0.23,395%
8000,8000,4,0.27,0.13,0.24,396%
8000,8000,4,0.29,0.13,0.24,396%
8000,8000,4,0.28,0.12,0.22,396%
8000,8000,4,0.27,0.12,0.23,395%
8000,8000,4,0.28,0.13,0.23,396%
8000,8000,4,0.32,0.13,0.20,397%
8000,8000,4,0.30,0.13,0.23,394%
8000,8000,4,0.27,0.13,0.24,394%
8000,8000,4,0.29,0.12,0.21,396%
8000,8000,4,0.29,0.13,0.23,396%
8000,8000,4,0.31,0.13,0.22,397%
8000,8000,4,0.30,0.12,0.21,396%
8000,8000,4,0.27,0.13,0.24,397%
8000,8000,4,0.28,0.13,0.25,395%
8000,8000,4,0.28,0.13,0.23,394%
8000,8000,4,0.26,0.12,0.24,395%
8000,8000,4,0.28,0.13,0.24,396%
8000,8000,4,0.30,0.13,0.23,397%
8000,8000,4,0.30,0.12,0.20,395%
8000,8000,4,0.27,0.12,0.23,396%
8000,8000,4,0.27,0.13,0.24,396%
8000,8000,4,0.31,0.13,0.22,397%
8000,8000,4,0.25,0.12,0.26,396%
8000,8000,4,0.30,0.13,0.22,396%
8000,8000,4,0.27,0.13,0.24,397%
8000,8000,4,0.30,0.13,0.23,396%
8000,8000,4,0.27,0.13,0.23,394%
8000,8000,4,0.30,0.12,0.21,396%
8000,8000,4,0.27,0.13,0.24,395%
8000,8000,4,0.30,0.13,0.23,396%
8000,8000,4,0.28,0.12,0.23,396%
8000,8000,4,0.30,0.13,0.22,394%
8000,8000,4,0.29,0.13,0.22,394%
8000,8000,4,0.30,0.13,0.22,397%
8000,8000,4,0.28,0.12,0.23,396%
8000,8000,4,0.30,0.13,0.20,395%
8000,8000,4,0.30,0.13,0.23,393%
8000,8000,4,0.29,0.12,0.21,395%
8000,8000,4,0.27,0.13,0.23,397%
8000,8000,4,0.28,0.13,0.25,395%
8000,8000,4,0.28,0.13,0.23,394%
8000,8000,4,0.29,0.13,0.22,396%
8000,8000,4,0.33,0.13,0.20,395%
8000,8000,4,0.27,0.12,0.23,396%
8000,8000,4,0.27,0.13,0.23,394%
8000,8000,4,0.29,0.13,0.23,397%
8000,8000,4,0.29,0.12,0.21,395%
8000,8000,4,0.27,0.12,0.23,395%
8000,8000,4,0.30,0.13,0.21,396%
8000,8000,4,0.30,0.13,0.23,395%
8000,8000,4,0.26,0.13,0.24,395%
8000,8000,4,0.28,0.13,0.22,393%
8000,8000,4,0.25,0.13,0.26,396%
8000,8000,4,0.26,0.13,0.27,397%
8000,8000,4,0.27,0.13,0.23,393%
8000,8000,4,0.28,0.12,0.23,396%
8000,8000,4,0.24,0.13,0.27,394%
8000,8000,4,0.27,0.13,0.26,395%
8000,8000,4,0.25,0.12,0.25,396%
8000,8000,4,0.27,0.13,0.23,395%
8000,8000,4,0.28,0.13,0.25,397%
8000,8000,4,0.27,0.12,0.23,395%
8000,8000,4,0.25,0.13,0.26,398%
8000,8000,4,0.27,0.13,0.26,397%
8000,8000,4,0.27,0.12,0.23,395%
8000,8000,4,0.26,0.13,0.25,396%
8000,8000,4,0.33,0.13,0.20,397%
8000,8000,4,0.30,0.12,0.20,395%
8000,8000,4,0.28,0.13,0.23,394%
8000,8000,4,0.32,0.13,0.21,395%
8000,8000,4,0.28,0.13,0.23,393%
8000,8000,4,0.27,0.12,0.23,395%
8000,8000,4,0.27,0.13,0.24,396%
8000,8000,4,0.30,0.13,0.23,397%
8000,8000,4,0.29,0.12,0.22,396%
8000,8000,4,0.26,0.13,0.24,395%
8000,8000,4,0.27,0.13,0.24,396%
8000,8000,4,0.27,0.13,0.25,395%
8000,8000,4,0.29,0.13,0.22,394%
8000,8000,4,0.30,0.13,0.20,393%
8000,8000,4,0.27,0.13,0.25,393%
8000,8000,4,0.27,0.13,0.26,395%
8000,8000,4,0.29,0.13,0.22,393%
8000,8000,4,0.29,0.12,0.21,396%
8000,8000,4,0.26,0.13,0.25,395%
8000,8000,4,0.28,0.13,0.25,395%
8000,8000,4,0.28,0.13,0.24,396%
8000,8000,4,0.30,0.12,0.21,396%
8000,8000,4,0.30,0.12,0.21,396%
8000,8000,4,0.29,0.13,0.23,393%
8000,8000,4,0.32,0.13,0.21,397%
8000,8000,4,0.29,0.13,0.22,393%
8000,8000,4,0.26,0.13,0.25,395%
8000,8000,4,0.28,0.13,0.22,395%
8000,8000,4,0.29,0.13,0.24,395%
8000,8000,4,0.29,0.12,0.21,395%
8000,8000,4,0.29,0.13,0.22,394%
8000,8000,4,0.27,0.13,0.26,397%
8000,8000,4,0.28,0.12,0.22,396%
8000,8000,4,0.29,0.12,0.21,396%
8000,8000,4,0.29,0.13,0.22,396%
8000,8000,4,0.28,0.13,0.25,395%
8000,8000,4,0.29,0.12,0.22,396%
8000,8000,4,0.30,0.13,0.21,396%
8000,8000,4,0.29,0.13,0.22,396%
8000,8000,4,0.30,0.13,0.23,395%
8000,8000,4,0.23,0.13,0.28,394%
8000,8000,4,0.28,0.12,0.23,396%
8000,8000,4,0.28,0.13,0.23,394%
8000,8000,4,0.28,0.13,0.25,394%
8000,8000,4,0.27,0.12,0.23,397%
8000,8000,4,0.30,0.13,0.20,397%
8000,8000,4,0.27,0.13,0.26,395%
8000,8000,4,0.26,0.12,0.24,395%
8000,8000,4,0.26,0.13,0.24,395%
8000,8000,4,0.26,0.13,0.26,396%
8000,8000,4,0.27,0.13,0.26,397%
8000,8000,4,0.27,0.13,0.24,395%
8000,8000,4,0.26,0.13,0.25,393%
8000,8000,4,0.26,0.13,0.27,395%
8000,8000,4,0.28,0.12,0.22,396%
8000,8000,4,0.29,0.12,0.21,396%
8000,8000,4,0.28,0.13,0.23,396%
8000,8000,4,0.29,0.13,0.24,395%
8000,8000,4,0.28,0.12,0.22,396%
8000,8000,4,0.27,0.13,0.23,395%
8000,8000,4,0.28,0.13,0.25,397%
8000,8000,4,0.30,0.12,0.20,398%
8000,8000,4,0.27,0.12,0.23,395%
8000,8000,4,0.27,0.13,0.24,395%
8000,8000,4,0.28,0.13,0.25,395%
8000,8000,4,0.29,0.13,0.21,393%
8000,8000,4,0.28,0.13,0.22,398%
8000,8000,4,0.28,0.13,0.25,394%
8000,8000,4,0.29,0.12,0.22,396%
8000,8000,4,0.29,0.12,0.21,396%
8000,8000,4,0.30,0.13,0.21,397%
8000,8000,4,0.29,0.13,0.24,394%
8000,8000,4,0.28,0.12,0.22,396%
8000,8000,4,0.26,0.13,0.25,385%
8000,8000,4,0.29,0.12,0.21,397%
8000,8000,4,0.27,0.12,0.24,396%
8000,8000,4,0.29,0.13,0.22,397%
8000,8000,4,0.28,0.13,0.24,397%
8000,8000,4,0.27,0.13,0.23,393%
8000,8000,4,0.25,0.13,0.26,393%
8000,8000,4,0.27,0.13,0.26,395%
8000,8000,4,0.28,0.12,0.22,396%
8000,8000,4,0.26,0.13,0.24,395%
8000,8000,4,0.24,0.13,0.27,393%
8000,8000,4,0.27,0.13,0.26,396%
8000,8000,4,0.28,0.13,0.23,394%
8000,8000,4,0.26,0.13,0.25,393%
8000,8000,4,0.29,0.13,0.24,394%
8000,8000,4,0.25,0.12,0.25,395%
8000,8000,4,0.30,0.12,0.20,396%
8000,8000,4,0.26,0.13,0.25,395%
8000,8000,4,0.30,0.13,0.23,394%
8000,8000,4,0.26,0.12,0.24,396%
8000,8000,4,0.25,0.13,0.26,396%
8000,8000,4,0.30,0.13,0.23,396%
8000,8000,4,0.31,0.12,0.19,396%
8000,8000,4,0.28,0.13,0.23,395%
8000,8000,4,0.27,0.13,0.26,395%
8000,8000,4,0.30,0.12,0.20,397%
8000,8000,4,0.26,0.12,0.24,396%
8000,8000,4,0.31,0.13,0.20,397%
8000,8000,4,0.28,0.13,0.25,394%
8000,8000,4,0.28,0.13,0.23,391%
8000,8000,4,0.28,0.12,0.22,395%
8000,8000,4,0.29,0.12,0.22,396%
8000,8000,4,0.27,0.13,0.24,394%
8000,8000,4,0.29,0.13,0.24,397%
8000,8000,4,0.25,0.12,0.25,395%
8000,8000,4,0.29,0.13,0.22,394%
8000,8000,4,0.27,0.13,0.26,395%
8000,8000,4,0.23,0.12,0.27,396%
8000,8000,4,0.30,0.12,0.20,396%
8000,8000,4,0.28,0.13,0.23,396%
8000,8000,4,0.31,0.13,0.22,394%
8000,8000,4,0.28,0.12,0.22,395%
8000,8000,4,0.30,0.13,0.21,395%
8000,8000,4,0.27,0.13,0.26,395%
8000,8000,4,0.27,0.12,0.23,396%
8000,8000,4,0.26,0.13,0.25,396%
8000,8000,4,0.31,0.13,0.22,394%
8000,8000,4,0.29,0.12,0.22,396%
8000,8000,4,0.28,0.12,0.22,396%
8000,8000,4,0.24,0.13,0.27,395%
8000,8000,4,0.29,0.13,0.24,397%
8000,8000,4,0.35,0.16,0.28,376%
8000,8000,4,0.29,0.12,0.21,395%
8000,8000,4,0.27,0.13,0.24,395%
8000,8000,4,0.23,0.12,0.28,396%
8000,8000,4,0.26,0.12,0.24,395%
8000,8000,4,0.28,0.12,0.23,397%
8000,8000,4,0.29,0.12,0.22,396%
8000,8000,4,0.28,0.12,0.23,396%
8000,8000,4,0.29,0.12,0.21,395%
8000,8000,4,0.27,0.12,0.23,395%
8000,8000,4,0.28,0.13,0.23,396%
8000,8000,4,0.29,0.13,0.24,396%
8000,8000,4,0.30,0.12,0.20,396%
8000,8000,4,0.25,0.12,0.25,396%
8000,8000,4,0.28,0.13,0.23,396%
8000,8000,4,0.28,0.13,0.25,397%
8000,8000,4,0.27,0.12,0.24,396%
8000,8000,4,0.33,0.13,0.18,397%
8000,8000,4,0.31,0.13,0.22,397%
8000,8000,4,0.26,0.12,0.24,395%
8000,8000,4,0.29,0.12,0.21,396%
8000,8000,4,0.28,0.13,0.24,396%
8000,8000,4,0.30,0.13,0.23,396%
8000,8000,4,0.31,0.12,0.20,396%
8000,8000,4,0.28,0.12,0.22,395%
8000,8000,4,0.29,0.13,0.22,396%
8000,8000,4,0.28,0.13,0.25,397%
8000,8000,4,0.25,0.12,0.25,395%
8000,8000,4,0.26,0.12,0.24,395%
8000,8000,4,0.25,0.13,0.26,395%
8000,8000,4,0.29,0.13,0.24,395%
8000,8000,4,0.25,0.12,0.25,396%
8000,8000,4,0.28,0.13,0.23,396%
8000,8000,4,0.25,0.13,0.28,397%
8000,8000,4,0.27,0.12,0.23,397%
8000,8000,4,0.27,0.12,0.23,396%
8000,8000,4,0.28,0.13,0.23,396%
8000,8000,4,0.30,0.13,0.23,395%
8000,8000,4,0.31,0.12,0.19,397%
8000,8000,4,0.29,0.13,0.22,396%
8000,8000,4,0.28,0.13,0.25,395%
8000,8000,4,0.24,0.12,0.26,396%
8000,8000,4,0.29,0.12,0.22,397%
8000,8000,4,0.27,0.13,0.24,395%
8000,8000,4,0.29,0.13,0.24,395%
8000,8000,4,0.26,0.13,0.25,395%
8000,8000,4,0.26,0.12,0.24,396%
8000,8000,4,0.29,0.13,0.22,394%
8000,8000,4,0.27,0.13,0.26,397%
8000,8000,4,0.30,0.13,0.23,396%
8000,8000,4,0.27,0.12,0.23,396%
8000,8000,4,0.27,0.12,0.23,396%
8000,8000,4,0.27,0.13,0.24,395%
8000,8000,4,0.28,0.13,0.24,397%
8000,8000,4,0.27,0.12,0.23,396%
8000,8000,4,0.25,0.12,0.26,396%
8000,8000,4,0.30,0.13,0.21,394%
8000,8000,4,0.28,0.13,0.25,394%
8000,8000,4,0.27,0.12,0.23,395%
8000,8000,4,0.26,0.13,0.25,395%
8000,8000,4,0.28,0.13,0.25,396%
8000,8000,4,0.31,0.12,0.19,394%
8000,8000,4,0.28,0.13,0.23,394%
8000,8000,4,0.29,0.13,0.24,397%
8000,8000,4,0.29,0.12,0.21,396%
8000,8000,4,0.32,0.13,0.19,395%
8000,8000,4,0.36,0.17,0.27,377%
8000,8000,4,0.25,0.12,0.25,396%
8000,8000,4,0.24,0.12,0.26,395%
8000,8000,4,0.26,0.12,0.25,396%
8000,8000,4,0.29,0.12,0.21,397%
8000,8000,4,0.27,0.12,0.23,395%
